Channel,Cs137,A,B,C
1301,11,139,0,177
1302,8,135,1,174
1303,16,136,0,146
1304,9,138,1,150
1305,13,139,0,156
1306,11,112,1,151
1307,7,140,1,178
1308,14,157,0,137
1309,16,132,0,163
1310,6,139,0,139
1311,5,140,0,145
1312,5,129,2,175
1313,7,119,1,135
1314,9,168,1,164
1315,5,140,0,161
1316,5,150,0,150
1317,12,154,0,160
1318,7,144,1,169
1319,9,156,1,132
1320,7,150,1,157
1321,9,151,1,139
1322,13,163,1,149
1323,8,150,0,145
1324,10,165,0,162
1325,13,156,0,156
1326,13,161,0,143
1327,5,151,1,158
1328,8,150,0,171
1329,11,178,0,156
1330,12,160,0,160
1331,7,153,0,172
1332,8,163,1,167
1333,8,177,1,160
1334,8,155,0,150
1335,7,164,0,171
1336,11,146,0,125
1337,7,159,0,160
1338,10,177,0,158
1339,5,155,0,158
1340,8,157,0,168
1341,10,151,0,157
1342,8,179,1,174
1343,11,179,1,185
1344,13,141,0,181
1345,10,170,0,189
1346,4,154,0,172
1347,8,163,1,168
1348,7,173,1,189
1349,11,166,2,169
1350,3,197,0,186
1351,8,175,0,170
1352,9,177,0,167
1353,11,169,0,189
1354,7,163,0,173
1355,3,169,1,187
1356,4,160,0,203
1357,5,169,0,195
1358,9,163,0,198
1359,4,163,0,202
1360,6,190,1,183
1361,7,157,1,207
1362,6,150,1,204
1363,4,182,1,218
1364,6,162,0,202
1365,5,164,0,191
1366,9,157,0,199
1367,12,170,0,222
1368,7,160,1,190
1369,7,173,1,218
1370,3,171,0,233
1371,4,163,0,244
1372,3,157,0,241
1373,5,154,0,252
1374,8,168,1,256
1375,7,163,0,249
1376,10,188,0,233
1377,8,150,0,257
1378,12,143,0,250
1379,3,154,0,284
1380,11,150,0,252
1381,4,161,0,273
1382,11,135,0,288
1383,3,141,0,285
1384,6,177,1,279
1385,4,148,0,274
1386,6,155,0,292
1387,4,138,1,290
1388,7,147,2,276
1389,10,145,1,280
1390,7,148,0,312
1391,8,162,0,341
1392,3,144,0,289
1393,6,158,0,311
1394,3,149,0,311
1395,4,137,0,348
1396,2,145,1,345
1397,3,133,0,313
1398,7,130,0,348
1399,7,149,0,356
1400,7,150,0,356
1401,10,145,0,360
1402,2,122,0,378
1403,4,128,0,353
1404,9,133,0,333
1405,4,127,1,411
1406,3,121,0,386
1407,6,142,1,389
1408,7,105,0,430
1409,8,155,0,404
1410,6,106,1,409
1411,10,110,0,398
1412,9,103,0,452
1413,10,123,0,450
1414,8,118,0,458
1415,3,95,0,477
1416,4,108,0,439
1417,3,100,0,461
1418,8,123,0,428
1419,7,104,0,461
1420,5,99,0,438
1421,4,123,0,468
1422,2,104,1,520
1423,7,115,0,480
1424,8,101,0,515
1425,5,94,0,500
1426,7,106,0,526
1427,11,99,0,493
1428,5,95,0,505
1429,8,103,0,518
1430,6,103,0,521
1431,8,106,0,525
1432,3,105,0,544
1433,3,109,0,567
1434,8,82,0,573
1435,3,106,0,568
1436,3,80,1,572
1437,4,103,0,618
1438,7,96,0,527
1439,5,86,0,599
1440,2,95,0,567
1441,6,95,0,594
1442,10,71,0,629
1443,3,93,2,592
1444,7,104,0,631
1445,8,94,0,660
1446,8,76,0,678
1447,6,119,0,649
1448,7,73,0,642
1449,10,74,0,659
1450,5,83,1,653
1451,6,87,0,666
1452,8,90,0,679
1453,4,71,0,686
1454,6,94,1,687
1455,2,89,1,702
1456,7,97,0,649
1457,5,93,1,679
1458,4,76,1,749
1459,4,86,0,690
1460,7,95,0,648
1461,7,84,0,731
1462,3,98,0,732
1463,2,92,0,658
1464,8,94,1,680
1465,7,92,0,678
1466,10,82,0,728
1467,8,88,1,714
1468,6,82,0,684
1469,8,101,0,781
1470,4,86,0,762
1471,5,84,2,750
1472,5,89,0,729
1473,4,86,1,778
1474,8,91,1,736
1475,5,88,0,750
1476,3,102,0,744
1477,9,95,0,715
1478,5,113,0,695
1479,3,83,0,772
1480,7,83,0,726
1481,9,98,0,771
1482,6,94,1,745
1483,8,88,0,757
1484,6,93,1,713
1485,10,92,0,794
1486,6,101,1,755
1487,4,103,0,738
1488,5,100,1,757
1489,8,107,0,724
1490,5,102,2,731
1491,11,94,0,752
1492,6,94,0,766
1493,3,92,0,744
1494,10,86,0,719
1495,4,109,0,716
1496,8,109,0,736
1497,7,109,1,732
1498,7,99,0,715
1499,7,126,0,744
1500,8,123,0,733
1501,4,108,0,687
1502,9,109,0,687
1503,9,107,0,724
1504,9,135,0,688
1505,7,124,0,708
1506,5,108,0,695
1507,4,94,0,684
1508,4,95,1,698
1509,9,100,0,671
1510,2,110,0,667
1511,8,105,0,736
1512,5,98,2,666
1513,10,140,0,620
1514,6,108,0,641
1515,5,101,0,645
1516,9,126,0,638
1517,10,113,0,632
1518,8,123,0,653
1519,5,110,2,655
1520,5,121,0,576
1521,5,106,0,592
1522,4,91,1,627
1523,4,131,1,606
1524,4,112,0,547
1525,7,143,0,612
1526,13,118,0,569
1527,5,147,0,568
1528,10,118,0,567
1529,11,109,0,556
1530,8,145,0,552
1531,4,122,0,540
1532,6,115,0,541
1533,3,114,0,510
1534,5,121,0,568
1535,9,142,0,509
1536,10,121,0,486
1537,4,108,1,467
1538,9,132,0,491
1539,9,125,0,485
1540,4,121,0,499
1541,7,115,0,483
1542,3,123,1,481
1543,8,123,1,506
1544,6,133,0,468
1545,13,115,0,446
1546,6,138,0,449
1547,7,114,0,461
1548,9,111,0,466
1549,7,116,1,426
1550,8,111,1,420
1551,7,118,0,405
1552,5,112,0,411
1553,7,125,0,382
1554,4,119,0,409
1555,2,129,0,352
1556,6,107,0,346
1557,3,113,0,376
1558,6,135,1,361
1559,5,112,0,353
1560,3,110,0,345
1561,3,128,0,373
1562,3,97,0,332
1563,4,100,0,338
1564,6,107,0,315
1565,5,108,0,321
1566,5,110,0,324
1567,11,115,0,315
1568,7,117,0,323
1569,3,106,0,295
1570,3,101,0,284
1571,5,129,0,298
1572,5,120,0,274
1573,5,115,0,272
1574,8,88,1,284
1575,6,111,0,243
1576,8,88,0,232
1577,7,111,0,259
1578,2,108,0,253
1579,4,104,0,246
1580,8,107,0,243
1581,7,108,0,220
1582,7,108,1,245
1583,8,83,0,220
1584,6,72,0,219
1585,7,88,0,228
1586,4,99,0,217
1587,6,83,0,211
1588,5,81,1,187
1589,5,79,0,217
1590,6,82,1,196
1591,3,76,0,192
1592,6,89,0,162
1593,2,94,0,189
1594,3,83,0,180
1595,4,82,0,184
1596,4,74,1,169
1597,6,81,0,172
1598,2,79,0,157
1599,5,87,0,165
1600,3,76,0,162
1601,3,74,0,165
1602,3,78,0,182
1603,7,57,0,154
1604,6,69,0,124
1605,1,68,0,154
1606,5,56,0,155
1607,5,47,0,128
1608,5,68,0,134
1609,7,69,0,131
1610,2,63,0,142
1611,3,48,1,118
1612,1,41,0,132
1613,7,72,0,131
1614,6,59,0,116
1615,2,51,1,117
1616,1,52,0,111
1617,3,46,2,116
1618,3,53,0,121
1619,4,72,0,129
1620,2,50,0,108
1621,1,50,1,136
1622,2,59,0,108
1623,2,47,0,112
1624,7,40,0,104
1625,2,60,0,89
1626,2,49,0,96
1627,2,51,0,116
1628,2,41,1,94
1629,1,43,1,105
1630,0,37,0,96
1631,0,51,0,103
1632,1,37,0,100
1633,1,37,0,92
1634,3,33,0,108
1635,3,38,0,86
1636,3,44,0,93
1637,2,32,0,94
1638,2,21,0,94
1639,4,29,0,85
1640,3,24,1,87
1641,1,32,0,81
1642,3,27,0,92
1643,1,34,0,103
1644,3,30,1,104
1645,3,31,0,89
1646,1,31,1,101
1647,1,25,0,98
1648,4,20,0,93
1649,2,25,0,86
1650,1,20,0,63
1651,5,20,0,102
1652,1,27,0,78
1653,1,17,0,76
1654,1,15,0,80
1655,0,17,0,69
1656,7,22,0,74
1657,3,24,0,79
1658,2,21,0,80
1659,1,23,1,72
1660,1,26,0,71
1661,2,22,0,78
1662,1,22,0,67
1663,1,12,0,84
1664,1,9,1,66
1665,0,12,0,90
1666,2,25,0,75
1667,2,17,0,66
1668,0,10,1,79
1669,0,13,0,78
1670,1,25,0,77
1671,0,18,0,70
1672,2,16,0,87
1673,0,10,0,69
1674,0,13,1,80
1675,2,14,0,79
1676,0,11,0,63
1677,2,14,2,55
1678,1,12,0,84
1679,1,11,0,64
1680,1,12,0,82
1681,1,10,0,76
1682,0,19,0,75
1683,1,11,1,87
1684,2,9,1,74
1685,0,17,0,86
1686,2,7,0,82
1687,2,6,0,73
1688,0,10,0,71
1689,1,18,0,79
1690,0,8,0,67
1691,1,10,0,69
1692,1,12,1,76
1693,0,8,0,63
1694,0,14,1,74
1695,1,12,0,65
1696,0,7,0,71
1697,1,12,1,66
1698,1,10,0,79
1699,0,11,0,52
1700,0,7,0,79
1701,3,3,0,66
1702,0,9,0,72
1703,1,10,0,66
1704,1,15,1,68
1705,1,8,1,72
1706,1,6,0,63
1707,0,6,0,80
1708,0,11,0,58
1709,2,7,0,60
1710,1,5,0,57
1711,0,7,0,87
1712,0,5,0,64
1713,1,5,0,89
1714,0,11,0,67
1715,0,6,0,69
1716,1,11,0,78
1717,0,5,0,74
1718,2,8,0,74
1719,1,3,0,70
1720,0,5,0,80
1721,0,8,0,55
1722,1,7,0,57
1723,1,5,0,76
1724,0,7,0,64
1725,0,7,0,72
1726,1,6,0,86
1727,1,1,0,58
1728,0,8,0,63
1729,0,5,0,66
1730,0,2,0,64
1731,0,3,0,70
1732,1,7,0,65
1733,0,8,0,48
1734,0,3,0,55
1735,1,7,0,59
1736,1,9,0,60
1737,1,9,1,77
1738,0,7,0,66
1739,1,3,1,67
1740,0,5,0,76
1741,0,9,0,62
1742,0,4,1,63
1743,0,5,0,58
1744,0,2,0,70
1745,0,3,0,66
1746,0,6,0,53
1747,1,5,0,66
1748,0,4,0,59
1749,1,3,0,69
1750,1,9,0,69
1751,0,5,0,71
1752,1,4,0,60
1753,0,3,0,65
1754,0,9,0,65
1755,0,1,0,80
1756,0,2,0,64
1757,0,6,0,62
1758,0,3,0,62
1759,0,4,0,65
1760,0,4,0,64
1761,1,5,0,78
1762,0,1,0,51
1763,0,2,0,66
1764,0,5,0,50
1765,0,8,0,58
1766,1,6,0,66
1767,1,1,0,68
1768,0,9,0,65
1769,0,3,0,55
1770,0,1,0,67
1771,0,4,0,82
1772,0,4,0,55
1773,1,1,0,62
1774,0,4,0,79
1775,0,4,0,72
1776,0,3,0,55
1777,1,4,0,46
1778,1,4,1,46
1779,0,3,0,48
1780,0,3,0,54
1781,0,5,0,66
1782,0,4,0,64
1783,0,3,0,54
1784,0,3,0,69
1785,1,3,0,67
1786,0,4,0,54
1787,0,1,0,51
1788,0,5,0,55
1789,0,6,0,65
1790,0,3,1,53
1791,0,1,1,66
1792,0,3,0,63
1793,0,5,0,67
1794,1,8,0,58
1795,0,4,0,67
1796,0,4,0,45
1797,0,4,0,44
1798,0,3,0,45
1799,0,2,1,61
1800,0,7,0,57
1801,0,2,0,68
1802,0,1,0,59
1803,0,1,0,64
1804,0,4,0,48
1805,2,3,0,52
1806,0,5,0,53
1807,0,5,0,60
1808,0,4,0,57
1809,0,5,1,67
1810,0,0,0,52
1811,0,6,0,58
1812,0,5,0,58
1813,0,0,0,61
1814,0,0,0,49
1815,0,3,1,53
1816,2,6,0,52
1817,0,5,0,40
1818,1,2,0,47
1819,0,3,0,46
1820,0,6,0,39
1821,0,4,0,48
1822,0,0,0,63
1823,0,2,0,64
1824,0,2,0,49
1825,0,3,0,40
1826,0,5,0,35
1827,0,4,0,51
1828,0,2,0,70
1829,0,5,0,50
1830,0,1,0,68
1831,0,2,0,44
1832,0,3,0,50
1833,0,4,0,52
1834,1,5,0,54
1835,0,1,0,46
1836,0,2,0,43
1837,0,4,0,48
1838,0,4,0,58
1839,0,3,0,55
1840,1,3,0,46
1841,0,7,0,36
1842,0,6,0,51
1843,0,3,0,58
1844,0,2,0,41
1845,0,3,0,42
1846,0,1,0,48
1847,2,3,0,41
1848,0,3,0,52
1849,1,2,0,37
1850,0,4,0,54
1851,1,6,0,60
1852,0,3,0,45
1853,1,4,0,45
1854,0,3,0,53
1855,0,2,0,39
1856,0,2,0,48
1857,0,4,0,36
1858,0,2,0,48
1859,0,2,0,51
1860,0,3,0,34
1861,0,2,0,38
1862,0,4,0,43
1863,0,7,0,41
1864,0,4,0,28
1865,0,1,0,38
1866,0,3,0,27
1867,0,0,0,43
1868,1,3,0,44
1869,0,4,0,38
1870,0,1,0,42
1871,0,2,1,35
1872,0,1,0,43
1873,0,4,0,41
1874,0,0,0,31
1875,0,4,0,27
1876,0,3,0,43
1877,0,4,0,49
1878,0,4,0,33
1879,1,4,0,27
1880,0,3,0,37
1881,0,3,0,45
1882,0,2,0,26
1883,0,0,0,35
1884,0,2,0,39
1885,0,3,0,28
1886,0,2,0,29
1887,0,1,0,35
1888,0,5,0,30
1889,0,5,0,29
1890,0,4,0,35
1891,0,3,0,35
1892,0,6,0,31
1893,0,1,1,38
1894,0,2,0,40
1895,0,1,0,27
1896,0,8,0,38
1897,0,6,0,29
1898,0,0,0,22
1899,0,0,0,40
1900,0,2,0,29
1901,0,4,0,23
1902,0,8,0,20
1903,1,5,0,30
1904,0,1,0,29
1905,1,4,0,30
1906,0,8,0,35
1907,0,0,0,26
1908,0,1,0,31
1909,0,2,0,26
1910,0,1,0,20
1911,0,3,0,37
1912,0,1,0,20
1913,1,5,0,32
1914,0,2,1,22
1915,1,4,0,32
1916,0,2,0,31
1917,1,3,0,20
1918,0,0,0,29
1919,0,4,0,18
1920,0,1,0,25
1921,0,3,0,29
1922,0,2,0,33
1923,0,2,0,19
1924,1,3,0,27
1925,0,4,0,31
1926,0,5,0,21
1927,0,3,0,24
1928,1,2,0,27
1929,0,3,0,30
1930,0,2,0,26
1931,0,2,1,25
1932,0,1,0,18
1933,0,1,1,16
1934,0,3,0,8
1935,0,3,0,24
1936,0,4,0,28
1937,0,1,0,29
1938,0,2,0,22
1939,0,4,0,30
1940,0,1,0,21
1941,0,0,0,29
1942,1,8,0,21
1943,0,1,0,21
1944,0,2,0,31
1945,0,4,0,27
1946,0,3,0,36
1947,0,1,0,23
1948,0,1,0,32
1949,0,2,0,37
1950,0,5,0,21
1951,0,2,0,19
1952,0,3,0,20
1953,0,4,0,19
1954,1,4,0,24
1955,0,4,0,22
1956,0,3,0,25
1957,1,3,0,25
1958,0,6,0,26
1959,0,1,0,25
1960,1,4,0,22
1961,0,4,0,23
1962,0,3,0,19
1963,0,3,0,21
1964,0,2,0,25
1965,1,3,0,23
1966,0,4,0,19
1967,1,4,0,16
1968,0,1,0,21
1969,1,2,1,29
1970,0,2,0,26
1971,0,4,0,32
1972,0,3,0,21
1973,0,2,0,27
1974,0,6,0,20
1975,1,2,0,19
1976,0,1,0,23
1977,0,2,0,30
1978,0,3,0,19
1979,0,3,0,22
1980,0,3,0,27
1981,0,2,0,27
1982,0,3,0,25
1983,0,1,0,21
1984,1,5,0,25
1985,0,3,0,25
1986,0,5,0,21
1987,0,7,0,19
1988,0,3,0,30
1989,0,2,0,26
1990,0,1,0,28
1991,0,4,0,23
1992,0,3,0,29
1993,0,6,0,24
1994,0,3,0,22
1995,0,5,0,27
1996,0,2,0,23
1997,0,5,0,41
1998,0,2,0,23
1999,0,4,0,35
2000,0,4,0,24
2001,0,3,0,24
2002,0,3,0,24
2003,1,5,0,30
2004,0,4,0,36
2005,0,3,0,24
2006,0,0,0,29
2007,0,1,0,34
2008,0,0,0,23
2009,0,0,1,36
2010,0,2,0,24
2011,0,2,0,33
2012,0,3,0,24
2013,0,3,0,35
2014,1,1,0,27
2015,0,3,0,32
2016,0,2,0,43
2017,0,2,0,30
2018,0,2,0,37
2019,0,6,0,30
2020,0,1,0,30
2021,0,1,0,35
2022,1,2,0,33
2023,0,1,0,31
2024,0,4,0,26
2025,0,4,0,32
2026,0,2,0,35
2027,0,4,0,35
2028,0,1,0,48
2029,1,3,0,38
2030,0,4,0,41
2031,0,4,0,38
2032,0,3,0,28
2033,0,2,0,35
2034,0,1,0,33
2035,0,3,0,28
2036,0,1,0,36
2037,0,1,0,41
2038,0,6,0,43
2039,0,3,0,43
2040,0,5,0,29
2041,0,0,0,32
2042,0,1,0,35
2043,0,2,0,41
2044,0,5,0,46
2045,0,6,0,36
2046,0,4,1,33
2047,0,4,1,33
